City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Ambilobe,MG,-13.2,49.05,71.82,88,85,4.25,overcast clouds
274,Anshun,CN,26.25,105.9333,62.92,70,52,1.28,broken clouds
275,Merke,KZ,42.8728,73.1786,70.56,55,100,15.28,overcast clouds
276,Timra,SE,62.487,17.3257,65.91,72,75,3.44,broken clouds
277,Hambantota,LK,6.1241,81.1185,79.14,100,0,15.14,clear sky
278,Fayaoue,NC,-20.65,166.5333,72.5,60,100,10.74,overcast clouds
279,Luorong,CN,24.4058,109.6086,73.98,76,0,2.66,clear sky
280,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,90.19,51,64,4.16,broken clouds
281,Jieshi,CN,22.8134,115.8257,77.22,86,20,13.8,few clouds
282,Ojinaga,MX,29.5667,-104.4167,97.57,10,1,9.22,clear sky
283,Kolyvan,RU,55.3053,82.7391,60.42,89,9,7.67,clear sky
284,Canmore,CA,51.0834,-115.3521,53.47,49,100,4.41,overcast clouds
285,Brae,GB,60.3964,-1.353,53.51,78,51,7.05,broken clouds
286,Broken Hill,AU,-31.95,141.4333,50.49,59,8,12.75,clear sky
287,Xapuri,BR,-10.6517,-68.5044,92.59,40,93,1.07,overcast clouds
288,Celestun,MX,20.8667,-90.4,90.41,57,93,8.21,overcast clouds
289,Bridgetown,BB,13.1,-59.6167,86.49,54,75,18.84,broken clouds
290,Moussoro,TD,13.6408,16.4901,95.59,27,100,7.92,overcast clouds
291,Mackay,AU,-21.15,149.2,55.69,84,63,12.15,broken clouds
292,Umm Lajj,SA,25.0213,37.2685,84.06,53,0,11.92,clear sky
293,Faya,SA,18.3851,42.4509,71.28,54,13,1.14,few clouds
294,Sur,OM,22.5667,59.5289,84.2,79,0,16.2,clear sky
295,Hajnowka,PL,52.7433,23.5812,58.87,82,1,3.71,clear sky
296,Olafsvik,IS,64.8945,-23.7142,47.62,86,100,1.63,heavy intensity rain
297,Salalah,OM,17.0151,54.0924,83.32,80,88,11.52,overcast clouds
298,Lahat,ID,-3.8,103.5333,70.81,95,52,2.95,broken clouds
299,Vao,NC,-22.6667,167.4833,70.29,67,100,15.28,overcast clouds
300,Bay-Khaak,RU,51.1667,94.5,41.9,76,76,2.64,broken clouds
301,Narsaq,GL,60.9167,-46.05,57.42,68,100,6.78,overcast clouds
302,Minbu,MM,20.1833,94.8833,84.38,68,100,6.96,moderate rain
303,Luderitz,NA,-26.6481,15.1594,66.33,39,0,4.63,clear sky
304,Fonte Boa,BR,-2.4959,-66.2662,87.75,58,85,4.36,overcast clouds
305,Northam,GB,51.0333,-4.2167,64.9,78,27,5.48,scattered clouds
306,Juegang,CN,32.3174,121.1855,68.92,64,0,9.26,light rain
307,Staryy Nadym,RU,65.6118,72.6842,37.36,67,11,7.63,few clouds
308,Arkadelphia,US,34.1209,-93.0538,82.58,83,75,3.44,broken clouds
309,Del Rio,US,29.3627,-100.8968,90.23,62,90,14.0,overcast clouds
310,Korsakov,RU,46.6328,142.7813,46.62,96,51,5.75,broken clouds
311,Thongwa,MM,16.7619,96.5278,82.56,77,100,5.44,overcast clouds
312,Basco,PH,20.4487,121.9702,83.44,73,100,9.26,overcast clouds
313,Tsabong,BW,-26.0217,22.401,53.76,37,0,11.3,clear sky
314,Constitucion,CL,-35.3333,-72.4167,55.49,59,100,10.13,overcast clouds
315,Yalvac,TR,38.2956,31.1778,57.52,44,0,3.98,clear sky
316,Paradise Valley,US,33.5312,-111.9427,101.57,12,20,1.01,few clouds
317,Turukhansk,RU,65.8167,87.9833,30.94,92,87,5.55,overcast clouds
318,Bousse,BF,12.6606,-1.8922,97.7,28,6,5.86,clear sky
319,Ambon,ID,-3.6954,128.1814,80.24,80,100,9.89,overcast clouds
320,Manoel Urbano,BR,-8.8389,-69.2597,92.25,45,49,2.75,scattered clouds
321,Bahia Blanca,AR,-38.7196,-62.2724,58.21,28,100,6.6,overcast clouds
322,Merrill,US,45.1805,-89.6835,85.42,42,1,10.36,clear sky
323,Eureka,US,40.8021,-124.1637,68.67,68,21,8.99,few clouds
324,Huilong,CN,31.8111,121.655,73.04,74,0,11.83,moderate rain
325,Itoman,JP,26.1247,127.6694,75.58,100,75,5.75,broken clouds
326,Kodinsk,RU,58.6881,99.1844,40.57,71,19,4.05,few clouds
327,Qaqortoq,GL,60.7167,-46.0333,57.7,81,100,4.59,overcast clouds
328,Salina Cruz,MX,16.1667,-95.2,89.69,62,69,8.28,broken clouds
329,Bilma,NE,18.6853,12.9164,95.18,15,100,2.8,overcast clouds
330,Betera,ES,39.5833,-0.45,72.9,70,0,5.75,clear sky
331,Wang Saphung,TH,17.301,101.7685,78.58,80,100,2.75,light rain
332,Moissala,TD,8.3404,17.7663,79.11,62,41,5.99,scattered clouds
333,Cabo San Lucas,MX,22.8909,-109.9124,103.8,52,7,8.86,clear sky
334,Svetlogorsk,BY,52.6333,29.7333,58.01,91,83,5.82,broken clouds
335,Stykkisholmur,IS,65.0757,-22.7297,49.05,80,100,2.57,overcast clouds
336,Pointe Michel,DM,15.25,-61.3833,79.14,79,100,12.5,overcast clouds
337,Dordrecht,NL,51.81,4.6736,69.28,67,0,6.13,clear sky
338,Belyy Yar,RU,53.6039,91.3903,48.09,87,0,6.44,clear sky
339,Iquitos,PE,-3.7481,-73.2472,82.09,86,100,1.7,overcast clouds
340,Okhotsk,RU,59.3833,143.3,42.44,88,100,3.04,overcast clouds
341,Kosh-Agach,RU,50.0,88.6667,40.68,67,5,2.86,clear sky
342,Mareeba,AU,-17.0,145.4333,66.92,93,95,2.95,overcast clouds
343,Bambous Virieux,MU,-20.3428,57.7575,72.21,81,25,10.63,scattered clouds
344,Tigil,RU,57.8,158.6667,46.31,75,100,6.38,overcast clouds
345,Bauska,LV,56.4075,24.1906,64.15,68,14,7.11,few clouds
